"ts","instrument_name","currency","expiration","strike","putcall","best_bid_amount","best_bid_price","mark_price","best_ask_price","best_ask_amount","is_atm","open_interest","delta","gamma","rho","theta","vega","bid_iv","mark_iv","ask_iv","underlying_price","index_price"
"2024-04-17 19:44:00","BTC-19APR24-82000-P","BTC","2024-04-19 08:00:00","82000","P",0,0,0.3468,0,0,FALSE,0,-0.99997,0,-3.39475,-0.18347,0.00486,0,114.07,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-80000-C","BTC","2024-04-19 08:00:00","80000","C",0,0,0,0.0001,2,FALSE,1247.1,9e-05,0,0.00022,-0.0923,0.01415,0,112.26,153.96,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-80000-P","BTC","2024-04-19 08:00:00","80000","P",68,0.31,0.3139,0.3165,67.8,FALSE,107.4,-0.99991,0,-3.3118,-0.52714,0.01419,0,112.26,238.71,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-78000-C","BTC","2024-04-19 08:00:00","78000","C",0,0,0,0.0001,0.9,FALSE,579,0.00034,0,0.00085,-0.37862,0.04926,0,112.23,141.21,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-78000-P","BTC","2024-04-19 08:00:00","78000","P",1.2,0.0001,0.2811,0,0,FALSE,0,-0.99965,0,-3.22837,-1.83394,0.04939,0,112.23,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-77000-C","BTC","2024-04-19 08:00:00","77000","C",0,0,0,0.0001,1,FALSE,526.2,0.00065,0,0.00161,-0.74633,0.08886,0,112.22,134.67,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-77000-P","BTC","2024-04-19 08:00:00","77000","P",1.2,0.0001,0.2647,0,0,FALSE,0.1,-0.99935,0,-3.18621,-3.30768,0.08908,0,112.22,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-76000-C","BTC","2024-04-19 08:00:00","76000","C",0,0,0,0.0001,2.9,FALSE,564.6,0.0012,0,0.00298,-1.44266,0.15644,0,112.22,128,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-76000-P","BTC","2024-04-19 08:00:00","76000","P",67.1,0.246,0.2482,0.2505,67.8,FALSE,200.2,-0.99879,0,-3.14344,-5.82239,0.1568,0,112.22,197.86,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-75000-C","BTC","2024-04-19 08:00:00","75000","C",0,0,0,0.0001,2.3,FALSE,658.9,0.00192,0,0.00474,-2.38483,0.23942,0,110.81,121.29,60875.12,60897.55
"2024-04-17 19:44:00","BTC-19APR24-75000-P","BTC","2024-04-19 08:00:00","75000","P",1.2,0.0001,0.2318,0,0,FALSE,1.4,-0.99806,0,-3.10023,-8.86855,0.24187,0,110.81,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-74000-C","BTC","2024-04-19 08:00:00","74000","C",0,0,0,0.0001,2.7,FALSE,510.7,0.00243,0,0.006,-2.95419,0.29619,0,106.45,114.36,60875.12,60897.55
"2024-04-17 19:44:00","BTC-19APR24-74000-P","BTC","2024-04-19 08:00:00","74000","P",68,0.212,0.2154,0.218,67.8,FALSE,41,-0.99754,0,-3.05755,-10.5432,0.29932,0,106.45,183.79,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-73000-C","BTC","2024-04-19 08:00:00","73000","C",0,0,0.0001,0.0002,6,FALSE,719.4,0.00443,0,0.01092,-5.6678,0.50812,0,106.45,115.95,60875.12,60897.55
"2024-04-17 19:44:00","BTC-19APR24-73000-P","BTC","2024-04-19 08:00:00","73000","P",68,0.1955,0.1993,0.2015,67.8,FALSE,21.3,-0.99554,0,-3.01121,-18.03462,0.51201,0,106.45,171.89,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-72000-C","BTC","2024-04-19 08:00:00","72000","C",2,0.0001,0.0002,0.0002,1,FALSE,618.9,0.00762,1e-05,0.01879,-10.23128,0.82276,100.04,106.01,108.25,60875.12,60897.55
"2024-04-17 19:44:00","BTC-19APR24-72000-P","BTC","2024-04-19 08:00:00","72000","P",68,0.179,0.183,0.186,67.1,FALSE,177.2,-0.99232,1e-05,-2.96188,-29.07012,0.82872,0,106.01,172.81,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-71000-C","BTC","2024-04-19 08:00:00","71000","C",20.5,0.0001,0.0002,0.0004,27.2,FALSE,635.2,0.01002,1e-05,0.0247,-13.21855,1.04537,92.62,101.36,109.89,60877.63,60899.59
"2024-04-17 19:44:00","BTC-19APR24-71000-P","BTC","2024-04-19 08:00:00","71000","P",67.3,0.164,0.1663,0.17,67.1,FALSE,231.9,-0.9899,1e-05,-2.91452,-35.32341,1.0532,0,101.36,166.82,60890.02,60912.76
